labels_gt,accuracy
car|dog,1.0
car|tv,0.6
cow|person,0.7
person|sheep,0.8
aeroplane|bird|dining table,0.0
aeroplane|bottle|tv,0.2
aeroplane|bus|motorbike,0.0
aeroplane|car|sheep,0.1
aeroplane|potted plant|train,0.1
bicycle|cat|cow,0.3
bird|boat|sheep,0.0
bird|bus|cow,0.0
bird|chair|dog,0.1
bird|dining table|potted plant,0.0
bird|dining table|sheep,0.0
bird|motorbike|sofa,0.0
bird|sheep|tv,0.0
boat|bus|chair,0.0
boat|car|motorbike,0.0
boat|cat|dining table,0.0
boat|cow|tv,0.0
boat|dog|horse,0.1
bus|sheep|sofa,0.0
car|chair|cow,0.0
cat|chair|potted plant,0.0
cat|dog|potted plant,0.2
chair|dining table|dog,0.2
chair|horse|tv,0.0
cow|horse|motorbike,0.0
dining table|train|tv,0.0
dog|horse|train,0.0
dog|motorbike|sheep,0.0
dog|sofa|tv,0.2
motorbike|potted plant|sheep,0.2
aeroplane|bicycle|car|horse,0.0
aeroplane|bicycle|dog|person,0.0
aeroplane|boat|bottle|sofa,0.0
aeroplane|bus|dining table|sofa,0.0
aeroplane|cat|chair|cow,0.0
bicycle|bird|bottle|train,0.0
bicycle|bird|cow|sheep,0.0
bicycle|bird|horse|potted plant,0.0
bicycle|boat|sofa|train,0.0
bicycle|bottle|dog|person,0.2
bicycle|bus|car|person,0.3
bicycle|chair|cow|dining table,0.0
bicycle|motorbike|sheep|tv,0.0
bird|car|cat|person,0.0
bird|cow|potted plant|sofa,0.0
boat|bottle|person|sofa,0.0
boat|person|potted plant|tv,0.1
bottle|bus|chair|cow,0.0
bottle|car|potted plant|sheep,0.0
bottle|cat|dining table|horse,0.0
bottle|chair|horse|sheep,0.0
bottle|motorbike|person|train,0.0
bottle|potted plant|sheep|train,0.0
bus|car|chair|train,0.0
bus|cat|cow|dog,0.0
bus|cat|person|tv,0.2
bus|horse|person|potted plant,0.3
car|chair|motorbike|sofa,0.0
car|dining table|horse|motorbike,0.0
cat|cow|potted plant|train,0.0
cat|horse|sheep|sofa,0.0
cat|motorbike|sheep|sofa,0.0
chair|dining table|person|train,0.0
